event,trigger_type,readout_type,global_timestamp
10883,Physics,None,1533761927
10884,Physics,None,1533761927
10885,Physics,None,1533761927
10886,Physics,None,1533761927
10887,Physics,None,1533761927
10888,Physics,None,1533761927
10889,Physics,None,1533761927
10890,Physics,None,1533761927
10891,Physics,None,1533761927
10892,Physics,None,1533761927
10893,Physics,None,1533761927
10894,Physics,None,1533761927
10895,Physics,None,1533761927
10896,Physics,None,1533761927
10897,Physics,None,1533761927
10898,Physics,None,1533761927
10899,Physics,None,1533761927
10900,Physics,None,1533761928
10901,Physics,None,1533761928
10902,Physics,None,1533761928
10903,Physics,None,1533761928
10904,Physics,None,1533761928
10905,Physics,None,1533761928
10906,Physics,None,1533761928
10907,Physics,None,1533761928
10908,Physics,None,1533761928
10909,Physics,None,1533761928
10910,Physics,None,1533761928
10911,Physics,None,1533761928
10912,Physics,None,1533761928
10913,Physics,None,1533761928
10914,Physics,None,1533761928
10915,Physics,None,1533761928
10916,Physics,None,1533761928
10917,Physics,None,1533761928
10918,Physics,None,1533761928
10919,Physics,None,1533761928
10920,Physics,None,1533761929
10921,Physics,None,1533761929
10922,Physics,None,1533761929
10923,Physics,None,1533761929
10924,Physics,None,1533761929
10925,Physics,None,1533761929
10926,Physics,None,1533761929
10927,Physics,None,1533761929
10928,Physics,None,1533761929
10929,Physics,None,1533761929
10930,Physics,None,1533761929
10931,Physics,None,1533761929
10932,Physics,None,1533761929
10933,Physics,None,1533761929
10934,Physics,None,1533761929
10935,Physics,None,1533761929
10936,Physics,None,1533761929
10937,Physics,None,1533761929
10938,Physics,None,1533761929
10939,Physics,None,1533761929
10940,Physics,None,1533761930
10941,Physics,None,1533761930
10942,Physics,None,1533761930
10943,Physics,None,1533761930
10944,Physics,None,1533761930
10945,Physics,None,1533761930
10946,Physics,None,1533761930
10947,Physics,None,1533761930
10948,Physics,None,1533761930
10949,Physics,None,1533761930
10950,Physics,None,1533761930
10951,Physics,None,1533761930
10952,Physics,None,1533761930
10953,Physics,None,1533761930
10954,Physics,None,1533761930
10955,Physics,None,1533761930
10956,Physics,None,1533761930
10957,Physics,None,1533761930
10958,Physics,None,1533761930
10959,Physics,None,1533761930
10960,Physics,None,1533761931
10961,Physics,None,1533761931
10962,Physics,None,1533761931
10963,Physics,None,1533761931
10964,Physics,None,1533761931
10965,Physics,None,1533761931
10966,Physics,None,1533761931
10967,Physics,None,1533761931
10968,Physics,None,1533761931
10969,Physics,None,1533761931
10970,Physics,None,1533761931
10971,Physics,None,1533761931
10972,Physics,None,1533761931
10973,Physics,None,1533761931
10974,Physics,None,1533761931
10975,Physics,None,1533761931
10976,Physics,None,1533761931
10977,Physics,None,1533761931
10978,Physics,None,1533761931
10979,Physics,None,1533761931
10980,Physics,None,1533761932
10981,Physics,None,1533761932
10982,Physics,None,1533761932
10983,Physics,None,1533761932
10984,Physics,None,1533761932
10985,Physics,None,1533761932
10986,Physics,None,1533761932
10987,Physics,None,1533761932
10988,Physics,None,1533761932
10989,Physics,None,1533761932
10990,Physics,None,1533761932
10991,Physics,None,1533761932
10992,Physics,None,1533761932
10993,Physics,None,1533761932
10994,Physics,None,1533761932
